Id;Label;Fighting;Centrality
1;LRA;19.615384;0.028865
2;UNITA;0.692307;0.009922
3;ANGOLA;1.692309;0.015244
4;UGANDA;20.615384;0.017391
5;HUTU;2.461540;0.017331
6;BURUNDI;1.384616;0.008976
7;SPLA;3.461539;0.011923
8;SUDAN;1.153846;0.006738
9;FNL;0.461541;0.016451
10;FARDC-JK;49.307685;0.007776
11;ADF;6.307696;0.011654
12;RCD-G;41.153846;0.059872
13;FDLR;31.538461;0.009669
14;RWA94;8.000003;0.012647
15;MM;26.923076;0.012121
16;CNDD;3.384618;0.016188
17;ZIMBABWE;3.461539;0.007751
18;CHAD;0.230770;0.008223
19;INTERAH;6.615385;0.014908
20;RCD-K;28.230771;0.045813
21;CNDP;20.615386;0.011465
22;MLC;14.615383;0.026661
23;FARDC-LK;88.615394;0.044384
24;UPC;10.230770;0.026349
25;LENDU;11.538461;0.009218
26;ADFL;0.307694;0.016399
27;RCD;8.307693;-0.014329
28;ZAIRE;0.076923;0.011859
29;NAMIBIA;1.461540;0.012658
30;FNI;4.000001;0.013988
31;RWA73;1.153847;0.012135
32;FPJC;3.076923;0.016628
33;FRPI;4.076927;0.016251
34;HEMA;4.461536;0.015666
35;MUTINY;7.769231;0.015062
36;ALIR;1.692307;0.015925
37;MRC;2.230770;0.010603
38;NALU;1.307692;0.011660
39;FLC;0.769230;0.018103
40;SAF;1.307693;0.013569
41;POLICE;0.461538;0.007248
42;MM-P;1.769232;0.001160
43;PUSIC;1.230769;0.017185
44;RWA00;17.307695;0.030970
45;UPPS;0.153847;0.016628
46;MM-Y;0.692309;0.001787
47;PRA;0.076923;0.011859
48;BDK;0.923078;0.016628
49;ZAMBIA;0.230768;0.013944
50;PPRD;0.615386;0.011859
51;RUD;0.230769;0.013740
52;ENYELE;0.538462;0.016628
53;LOBALA;0.461540;0.019127
54;MM-K;0.153847;0.003710
55;FRF;0.230769;0.016628
56;APCLS;0.307695;0.014094
57;BANYA;0.153845;0.013582
58;LENDU-U;0.307692;0.014238
59;MUNZ;0.538463;0.016628
60;ALUR;0.153847;0.008859
61;UELE;0.307694;0.011923
62;MM-L;0.307694;0.004812
63;MM-J;0.307694;0.004812
64;MINEM;0.307691;0.016628
65;BOMBO;0.384616;0.014526
66;DSP;0.076923;0.009514
67;G47;0.153846;0.011859
68;NGITI;0.153846;0.005422
69;RCD-M;0.230770;0.013977
70;WAGE;0.230768;0.013702
71;ADC;0.076923;0.009316
72;CNDD-N;0.153845;0.015103
73;RCD-N;0.153846;-0.006427
74;FAP;0.076923;0.011859
75;HUTU-R;0.076923;0.011859
76;MM-M;0.076923;0.003710
77;MBINGI;0.153846;0.011859
78;MUTLRA;0.076924;0.011859
79;PYGMY;0.076923;0.011859
80;WANGI;0.076923;0.011859
